#CANONICAL_CLASS_NAME "AUTHOR"
com.aelitis.azureus.core.devices.impl.DeviceImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceInternetGatewayImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceiTunes "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceiTunesManager "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceManagerImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceManagerRSSFeed "= null"
com.aelitis.azureus.core.devices.impl.DeviceManagerUPnPImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceMediaRendererImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceMediaRendererManual "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceMediaRendererTemplateImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceOfflineDownloaderImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceTivo "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceTivoManager "Paul Gardner"
com.aelitis.azureus.core.devices.impl.DeviceUPnPImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodeFileImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodeJobImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodeJobOutputLeecher "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodeManagerImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodePipe "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodePipeFileSource "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodePipeStreamSource "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodePipeStreamSource2 "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodeProfileImpl "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodeProviderVuze "Paul Gardner"
com.aelitis.azureus.core.devices.impl.TranscodeQueueImpl "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeActionVetoException "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeAnalysisListener "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeException "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeFile "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeJob "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeManager "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeManagerListener "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeProfile "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeProvider "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeProviderAdapter "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeProviderAnalysis "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeProviderJob "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeQueue "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeQueueActionListener "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeQueueListener "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeTarget "Paul Gardner"
com.aelitis.azureus.core.devices.TranscodeTargetListener "Paul Gardner"
com.aelitis.azureus.core.dht.control.DHTControl "parg"
com.aelitis.azureus.core.dht.control.DHTControlActivity "parg"
com.aelitis.azureus.core.dht.control.DHTControlAdapter "parg"
com.aelitis.azureus.core.dht.control.DHTControlContact "Paul Gardner"
com.aelitis.azureus.core.dht.control.DHTControlFactory "parg"
com.aelitis.azureus.core.dht.control.DHTControlListener "Paul Gardner"
com.aelitis.azureus.core.dht.control.DHTControlStats "parg"
com.aelitis.azureus.core.dht.control.impl.DHTControlContactImpl "parg"
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl "parg"
com.aelitis.azureus.core.dht.control.impl.DHTControlStatsImpl "parg"
com.aelitis.azureus.core.dht.db.DHTDB "parg"
com.aelitis.azureus.core.dht.db.DHTDBFactory "parg"
com.aelitis.azureus.core.dht.db.DHTDBLookupResult "parg"
com.aelitis.azureus.core.dht.db.DHTDBStats "Paul Gardner"
com.aelitis.azureus.core.dht.db.DHTDBValue "parg"
com.aelitis.azureus.core.dht.db.impl.DHTDBImpl "parg"
com.aelitis.azureus.core.dht.db.impl.DHTDBMapping "parg"
com.aelitis.azureus.core.dht.db.impl.DHTDBValueImpl "parg"
com.aelitis.azureus.core.dht.DHT "parg"
com.aelitis.azureus.core.dht.DHTFactory "parg"
com.aelitis.azureus.core.dht.DHTListener "Paul Gardner"
com.aelitis.azureus.core.dht.DHTLogger "Paul Gardner"
com.aelitis.azureus.core.dht.DHTOperationAdapter "parg"
com.aelitis.azureus.core.dht.DHTOperationListener "parg"
com.aelitis.azureus.core.dht.DHTStorageAdapter "parg"
com.aelitis.azureus.core.dht.DHTStorageBlock "Paul Gardner"
com.aelitis.azureus.core.dht.DHTStorageKey "parg"
com.aelitis.azureus.core.dht.DHTStorageKeyStats "Paul Gardner"
com.aelitis.azureus.core.dht.impl.DHTImpl "parg"
com.aelitis.azureus.core.dht.impl.DHTLog "parg"
com.aelitis.azureus.core.dht.nat.DHTNATPuncher "Paul Gardner"
com.aelitis.azureus.core.dht.nat.DHTNATPuncherAdapter "Paul Gardner"
com.aelitis.azureus.core.dht.nat.DHTNATPuncherFactory "Paul Gardner"
com.aelitis.azureus.core.dht.nat.DHTNATPuncherListener "Paul Gardner"
com.aelitis.azureus.core.dht.nat.impl.DHTNATPuncherImpl "Paul Gardner"
com.aelitis.azureus.core.dht.netcoords.DHTNetworkPosition "Paul Gardner"
