#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.nio.channels.NonWritableChannelException java.nio.channels.NonReadableChannelException
java.nio.channels.NotYetBoundException java.nio.channels.NotYetConnectedException
java.nio.channels.ReadPendingException java.nio.channels.WritePendingException
java.nio.channels.ClosedByInterruptException java.nio.channels.FileLockInterruptionException
java.nio.DirectShortBufferS java.nio.DirectFloatBufferU
java.nio.DirectShortBufferS java.nio.DirectCharBufferU
java.nio.DirectShortBufferS java.nio.DirectCharBufferS
java.nio.DirectIntBufferRU java.nio.DirectDoubleBufferRS
java.nio.DirectIntBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectDoubleBufferU java.nio.DirectFloatBufferU
java.nio.DirectDoubleBufferU java.nio.DirectCharBufferU
java.nio.DirectDoubleBufferU java.nio.DirectCharBufferS
java.nio.DirectDoubleBufferU java.nio.DirectShortBufferS
java.nio.ByteBufferAsCharBufferRL java.nio.DirectCharBufferRU
java.nio.DoubleBuffer java.nio.LongBuffer
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsFloatBufferRL
java.nio.DirectFloatBufferRU java.nio.DirectDoubleBufferRS
java.nio.DirectFloatBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectFloatBufferRU java.nio.DirectIntBufferRU
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsFloatBufferL
java.nio.DirectFloatBufferRS java.nio.DirectDoubleBufferRS
java.nio.DirectFloatBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectFloatBufferRS java.nio.DirectIntBufferRU
java.nio.DirectFloatBufferRS java.nio.DirectFloatBufferRU
java.nio.HeapShortBufferR java.nio.HeapDoubleBufferR
java.nio.DirectShortBufferU java.nio.DirectFloatBufferU
java.nio.DirectShortBufferU java.nio.DirectCharBufferU
java.nio.DirectShortBufferU java.nio.DirectCharBufferS
java.nio.DirectShortBufferU java.nio.DirectShortBufferS
java.nio.DirectShortBufferU java.nio.DirectDoubleBufferU
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsShortBufferL
java.nio.DirectFloatBufferS java.nio.DirectFloatBufferU
java.nio.DirectFloatBufferS java.nio.DirectCharBufferU
java.nio.DirectFloatBufferS java.nio.DirectCharBufferS
java.nio.DirectFloatBufferS java.nio.DirectShortBufferS
java.nio.DirectFloatBufferS java.nio.DirectDoubleBufferU
java.nio.DirectFloatBufferS java.nio.DirectShortBufferU
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsLongBufferB java.nio.ByteBufferAsDoubleBufferRB
java.nio.DirectLongBufferRU java.nio.DirectDoubleBufferRS
java.nio.DirectLongBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectLongBufferRU java.nio.DirectIntBufferRU
java.nio.DirectLongBufferRU java.nio.DirectFloatBufferRU
java.nio.DirectLongBufferRU java.nio.DirectFloatBufferRS
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsCharBufferRL
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsCharBufferRL
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsCharBufferB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsFloatBufferB
