#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
com.aelitis.net.natpmp.upnp.impl.NatPMPUPnPRootDeviceImpl com.aelitis.net.upnp.UPnPService
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTBitfield com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTPiece
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTBitfield com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTMessage
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTCancel com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTPiece
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTCancel com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTChoke
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTCancel com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTMessage
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTCancel com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTUnchoke
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTCancel com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTBitfield
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHaveAll com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHaveNone
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTUninterested
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTPiece
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTChoke
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTKeepAlive
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTMessage
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTUnchoke
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTBitfield
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTCancel
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTInterested com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTUninterested
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTInterested com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTPiece
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTInterested com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTChoke
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTInterested com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTUnchoke
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTInterested com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTCancel
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTInterested com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTHave
com.aelitis.azureus.core.peermanager.messaging.azureus.AZMessageDecoder com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTMessageDecoder
com.aelitis.azureus.core.download.DiskManagerFileInfoURL com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloaderRange
com.aelitis.azureus.core.diskmanager.file.impl.FMFileUnlimited com.aelitis.azureus.core.diskmanager.file.impl.FMFileLimited
com.aelitis.azureus.core.devices.impl.TranscodeJobOutputLeecher com.aelitis.azureus.core.download.DiskManagerFileInfoStream
com.aelitis.azureus.core.speedmanager.impl.v2.SMConfigurationAdapterImpl com.aelitis.azureus.core.speedmanager.impl.v2.LimitControlPreferDownload
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedManagerAlgorithmProviderDHTPing com.aelitis.azureus.core.speedmanager.impl.v2.SpeedManagerAlgorithmProviderPingMap
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedLimitMonitor com.aelitis.azureus.core.speedmanager.impl.v2.SpeedManagerAlgorithmProviderDHTPing
com.aelitis.azureus.core.speedmanager.impl.v1.SpeedManagerAlgorithmProviderV1 com.aelitis.azureus.core.speedmanager.impl.v3.SpeedManagerAlgorithmProviderV3
com.aelitis.azureus.core.speedmanager.SpeedManagerLimitEstimate com.aelitis.azureus.core.speedmanager.impl.v2.SMConfigurationAdapterImpl
com.aelitis.azureus.core.networkmanager.admin.impl.NetworkAdminSpeedTestSchedulerImpl com.aelitis.azureus.core.networkmanager.admin.impl.NetworkAdminSpeedTesterImpl
com.aelitis.azureus.core.networkmanager.admin.impl.NetworkAdminHTTPTester com.aelitis.azureus.core.networkmanager.admin.impl.NetworkAdminTCPTester
com.aelitis.azureus.core.networkmanager.impl.tcp.VirtualNonBlockingServerChannelSelector com.aelitis.azureus.core.networkmanager.impl.tcp.VirtualBlockingServerChannelSelector
com.aelitis.azureus.core.networkmanager.impl.TransportImpl com.aelitis.azureus.core.networkmanager.Transport
com.aelitis.azureus.core.networkmanager.impl.TransportImpl com.aelitis.azureus.core.networkmanager.TransportBase
com.aelitis.azureus.core.networkmanager.impl.MultiPeerDownloader com.aelitis.azureus.core.networkmanager.impl.MultiPeerDownloader2
com.aelitis.azureus.core.networkmanager.impl.ByteBucketMT com.aelitis.azureus.core.networkmanager.impl.ByteBucketST
com.aelitis.azureus.core.networkmanager.impl.OutgoingMessageQueueImpl com.aelitis.azureus.core.networkmanager.OutgoingMessageQueue
