#CANONICAL_CLASS_NAME "AUTHOR"
org.apache.lucene.codecs.lucene40.Lucene40PostingsReader "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40SegmentInfoFormat "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40SegmentInfoReader "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40SegmentInfoWriter "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40SkipListReader "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsFormat "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsReader "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsWriter "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40TermVectorsFormat "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40TermVectorsReader "UNKNOWN"
org.apache.lucene.codecs.lucene40.Lucene40TermVectorsWriter "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.Bytes "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.DirectSource "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.DocValuesWriterBase "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.FixedDerefBytesImpl "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.FixedSortedBytesImpl "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.FixedStraightBytesImpl "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.Floats "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.Ints "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.PackedIntValues "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.VarDerefBytesImpl "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.VarSortedBytesImpl "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.VarStraightBytesImpl "UNKNOWN"
org.apache.lucene.codecs.lucene40.values.Writer "UNKNOWN"
org.apache.lucene.codecs.lucene41.ForUtil "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41Codec "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41PostingsBaseFormat "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41PostingsFormat "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41PostingsReader "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41SkipReader "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41SkipWriter "UNKNOWN"
org.apache.lucene.codecs.lucene41.Lucene41StoredFieldsFormat "UNKNOWN"
org.apache.lucene.codecs.MappingMultiDocsAndPositionsEnum "UNKNOWN"
org.apache.lucene.codecs.MappingMultiDocsEnum "UNKNOWN"
org.apache.lucene.codecs.MultiLevelSkipListReader "UNKNOWN"
org.apache.lucene.codecs.MultiLevelSkipListWriter "UNKNOWN"
org.apache.lucene.codecs.NormsFormat "UNKNOWN"
org.apache.lucene.codecs.PerDocConsumer "UNKNOWN"
org.apache.lucene.codecs.PerDocProducer "UNKNOWN"
org.apache.lucene.codecs.PerDocProducerBase "UNKNOWN"
org.apache.lucene.codecs.perfield.PerFieldPostingsFormat "UNKNOWN"
org.apache.lucene.codecs.PostingsBaseFormat "UNKNOWN"
org.apache.lucene.codecs.PostingsConsumer "UNKNOWN"
org.apache.lucene.codecs.PostingsFormat "UNKNOWN"
org.apache.lucene.codecs.PostingsReaderBase "UNKNOWN"
org.apache.lucene.codecs.PostingsWriterBase "UNKNOWN"
org.apache.lucene.codecs.SegmentInfoFormat "UNKNOWN"
org.apache.lucene.codecs.SegmentInfoReader "UNKNOWN"
org.apache.lucene.codecs.SegmentInfoWriter "UNKNOWN"
org.apache.lucene.codecs.StoredFieldsFormat "UNKNOWN"
org.apache.lucene.codecs.StoredFieldsReader "UNKNOWN"
org.apache.lucene.codecs.StoredFieldsWriter "UNKNOWN"
org.apache.lucene.codecs.TermsConsumer "UNKNOWN"
org.apache.lucene.codecs.TermStats "UNKNOWN"
org.apache.lucene.codecs.TermVectorsFormat "UNKNOWN"
org.apache.lucene.codecs.TermVectorsReader "UNKNOWN"
org.apache.lucene.codecs.TermVectorsWriter "UNKNOWN"
org.apache.lucene.document.ByteDocValuesField "UNKNOWN"
org.apache.lucene.document.CompressionTools "UNKNOWN"
org.apache.lucene.document.DateTools "UNKNOWN"
org.apache.lucene.document.DerefBytesDocValuesField "UNKNOWN"
org.apache.lucene.document.Document "UNKNOWN"
org.apache.lucene.document.DocumentStoredFieldVisitor "UNKNOWN"
org.apache.lucene.document.DoubleDocValuesField "UNKNOWN"
org.apache.lucene.document.DoubleField "UNKNOWN"
org.apache.lucene.document.Field "UNKNOWN"
org.apache.lucene.document.FieldType "UNKNOWN"
org.apache.lucene.document.FloatDocValuesField "UNKNOWN"
org.apache.lucene.document.FloatField "UNKNOWN"
org.apache.lucene.document.IntDocValuesField "UNKNOWN"
org.apache.lucene.document.IntField "UNKNOWN"
org.apache.lucene.document.LongDocValuesField "UNKNOWN"
org.apache.lucene.document.LongField "UNKNOWN"
org.apache.lucene.document.PackedLongDocValuesField "UNKNOWN"
org.apache.lucene.document.ShortDocValuesField "UNKNOWN"
org.apache.lucene.document.SortedBytesDocValuesField "UNKNOWN"
org.apache.lucene.document.StoredField "UNKNOWN"
org.apache.lucene.document.StraightBytesDocValuesField "UNKNOWN"
org.apache.lucene.document.StringField "UNKNOWN"
org.apache.lucene.document.TextField "UNKNOWN"
org.apache.lucene.index.AtomicReader "UNKNOWN"
org.apache.lucene.index.AtomicReaderContext "UNKNOWN"
org.apache.lucene.index.AutomatonTermsEnum "UNKNOWN"
org.apache.lucene.index.BaseCompositeReader "UNKNOWN"
org.apache.lucene.index.BitsSlice "UNKNOWN"
org.apache.lucene.index.BufferedDeletes "UNKNOWN"
org.apache.lucene.index.BufferedDeletesStream "UNKNOWN"
org.apache.lucene.index.ByteSliceReader "UNKNOWN"
org.apache.lucene.index.ByteSliceWriter "UNKNOWN"
org.apache.lucene.index.CheckIndex "UNKNOWN"
org.apache.lucene.index.CoalescedDeletes "UNKNOWN"
org.apache.lucene.index.CompositeReader "UNKNOWN"
org.apache.lucene.index.CompositeReaderContext "UNKNOWN"
org.apache.lucene.index.ConcurrentMergeScheduler "UNKNOWN"
org.apache.lucene.index.CorruptIndexException "UNKNOWN"
org.apache.lucene.index.DirectoryReader "UNKNOWN"
org.apache.lucene.index.DocConsumer "UNKNOWN"
org.apache.lucene.index.DocFieldConsumer "UNKNOWN"
org.apache.lucene.index.DocFieldConsumerPerField "UNKNOWN"
org.apache.lucene.index.DocFieldProcessor "UNKNOWN"
org.apache.lucene.index.DocFieldProcessorPerField "UNKNOWN"
org.apache.lucene.index.DocInverter "UNKNOWN"
org.apache.lucene.index.DocInverterPerField "UNKNOWN"
org.apache.lucene.index.DocsAndPositionsEnum "UNKNOWN"
org.apache.lucene.index.DocsEnum "UNKNOWN"
org.apache.lucene.index.DocTermOrds "UNKNOWN"
org.apache.lucene.index.DocumentsWriter "UNKNOWN"
org.apache.lucene.index.DocumentsWriterDeleteQueue "UNKNOWN"
org.apache.lucene.index.DocumentsWriterFlushControl "UNKNOWN"
org.apache.lucene.index.DocumentsWriterFlushQueue "UNKNOWN"
org.apache.lucene.index.DocumentsWriterPerThread "UNKNOWN"
org.apache.lucene.index.DocumentsWriterPerThreadPool "UNKNOWN"
org.apache.lucene.index.DocumentsWriterStallControl "UNKNOWN"
org.apache.lucene.index.DocValues "UNKNOWN"
org.apache.lucene.index.FieldInfo "UNKNOWN"
org.apache.lucene.index.FieldInfos "UNKNOWN"
org.apache.lucene.index.FieldInvertState "UNKNOWN"
org.apache.lucene.index.Fields "UNKNOWN"
org.apache.lucene.index.FilterAtomicReader "UNKNOWN"
org.apache.lucene.index.FilteredTermsEnum "UNKNOWN"
org.apache.lucene.index.FlushByRamOrCountsPolicy "UNKNOWN"
org.apache.lucene.index.FlushPolicy "UNKNOWN"
org.apache.lucene.index.FreqProxTermsWriter "UNKNOWN"
org.apache.lucene.index.FreqProxTermsWriterPerField "UNKNOWN"
org.apache.lucene.index.FrozenBufferedDeletes "UNKNOWN"
org.apache.lucene.index.IndexableField "UNKNOWN"
org.apache.lucene.index.IndexableFieldType "UNKNOWN"
org.apache.lucene.index.IndexCommit "UNKNOWN"
org.apache.lucene.index.IndexDeletionPolicy "UNKNOWN"
org.apache.lucene.index.IndexFileDeleter "UNKNOWN"
org.apache.lucene.index.IndexFileNames "UNKNOWN"
org.apache.lucene.index.IndexFormatTooNewException "UNKNOWN"
org.apache.lucene.index.IndexFormatTooOldException "UNKNOWN"
org.apache.lucene.index.IndexNotFoundException "UNKNOWN"
org.apache.lucene.index.IndexReader "UNKNOWN"
org.apache.lucene.index.IndexReaderContext "UNKNOWN"
org.apache.lucene.index.IndexUpgrader "UNKNOWN"
org.apache.lucene.index.IndexWriter "UNKNOWN"
org.apache.lucene.index.IndexWriterConfig "UNKNOWN"
org.apache.lucene.index.InvertedDocConsumer "UNKNOWN"
org.apache.lucene.index.InvertedDocConsumerPerField "UNKNOWN"
org.apache.lucene.index.InvertedDocEndConsumer "UNKNOWN"
org.apache.lucene.index.InvertedDocEndConsumerPerField "UNKNOWN"
org.apache.lucene.index.KeepOnlyLastCommitDeletionPolicy "UNKNOWN"
org.apache.lucene.index.LiveIndexWriterConfig "UNKNOWN"
org.apache.lucene.index.LogByteSizeMergePolicy "UNKNOWN"
org.apache.lucene.index.LogDocMergePolicy "UNKNOWN"
org.apache.lucene.index.LogMergePolicy "UNKNOWN"
org.apache.lucene.index.MergedIterator "UNKNOWN"
org.apache.lucene.index.MergePolicy "UNKNOWN"
org.apache.lucene.index.MergeScheduler "UNKNOWN"
org.apache.lucene.index.MergeState "UNKNOWN"
org.apache.lucene.index.MultiBits "UNKNOWN"
org.apache.lucene.index.MultiDocsAndPositionsEnum "UNKNOWN"
org.apache.lucene.index.MultiDocsEnum "UNKNOWN"
org.apache.lucene.index.MultiDocValues "UNKNOWN"
org.apache.lucene.index.MultiFields "UNKNOWN"
org.apache.lucene.index.MultiReader "UNKNOWN"
org.apache.lucene.index.MultiTerms "UNKNOWN"
org.apache.lucene.index.MultiTermsEnum "UNKNOWN"
org.apache.lucene.index.NoDeletionPolicy "UNKNOWN"
org.apache.lucene.index.NoMergePolicy "UNKNOWN"
org.apache.lucene.index.NoMergeScheduler "UNKNOWN"
org.apache.lucene.index.Norm "UNKNOWN"
org.apache.lucene.index.NormsConsumer "UNKNOWN"
org.apache.lucene.index.NormsConsumerPerField "UNKNOWN"
org.apache.lucene.index.OrdTermState "UNKNOWN"
org.apache.lucene.index.ParallelAtomicReader "UNKNOWN"
org.apache.lucene.index.ParallelCompositeReader "UNKNOWN"
org.apache.lucene.index.ParallelPostingsArray "UNKNOWN"
org.apache.lucene.index.PerDocWriteState "UNKNOWN"
org.apache.lucene.index.PersistentSnapshotDeletionPolicy "UNKNOWN"
org.apache.lucene.index.PrefixCodedTerms "UNKNOWN"
org.apache.lucene.index.ReaderManager "UNKNOWN"
org.apache.lucene.index.ReadersAndLiveDocs "UNKNOWN"
org.apache.lucene.index.ReaderSlice "UNKNOWN"
org.apache.lucene.index.ReaderUtil "UNKNOWN"
org.apache.lucene.index.SegmentCoreReaders "UNKNOWN"
org.apache.lucene.index.SegmentInfo "UNKNOWN"
org.apache.lucene.index.SegmentInfoPerCommit "UNKNOWN"
org.apache.lucene.index.SegmentInfos "UNKNOWN"
org.apache.lucene.index.SegmentMerger "UNKNOWN"
org.apache.lucene.index.SegmentReader "UNKNOWN"
