#CANONICAL_CLASS_NAME "AUTHOR"
edu.uci.ics.jung.algorithms.scoring.util.UniformInOut "UNKNOWN"
edu.uci.ics.jung.algorithms.scoring.util.VEPair "UNKNOWN"
edu.uci.ics.jung.algorithms.scoring.util.VertexScoreTransformer "UNKNOWN"
edu.uci.ics.jung.algorithms.scoring.VertexScorer "UNKNOWN"
edu.uci.ics.jung.algorithms.scoring.VoltageScorer "UNKNOWN"
edu.uci.ics.jung.algorithms.shortestpath.BFSDistanceLabeler "Scott White"
edu.uci.ics.jung.algorithms.shortestpath.DijkstraDistance "Joshua O"
edu.uci.ics.jung.algorithms.shortestpath.DijkstraShortestPath "Joshua O"
edu.uci.ics.jung.algorithms.shortestpath.Distance "Joshua O"
edu.uci.ics.jung.algorithms.shortestpath.DistanceStatistics "Scott White"
edu.uci.ics.jung.algorithms.shortestpath.MinimumSpanningForest "Tom Nelson"
edu.uci.ics.jung.algorithms.shortestpath.MinimumSpanningForest2 "Tom Nelson"
edu.uci.ics.jung.algorithms.shortestpath.PrimMinimumSpanningTree "Tom Nelson"
edu.uci.ics.jung.algorithms.shortestpath.ShortestPath "UNKNOWN"
edu.uci.ics.jung.algorithms.shortestpath.ShortestPathUtils "UNKNOWN"
edu.uci.ics.jung.algorithms.shortestpath.UnweightedShortestPath "Scott White"
edu.uci.ics.jung.algorithms.transformation.DirectionTransformer "Danyel Fisher"
edu.uci.ics.jung.algorithms.transformation.FoldingTransformer "Danyel Fisher"
edu.uci.ics.jung.algorithms.transformation.VertexPartitionCollapser "UNKNOWN"
edu.uci.ics.jung.algorithms.util.BasicMapEntry "UNKNOWN"
edu.uci.ics.jung.algorithms.util.ConstantMap "UNKNOWN"
edu.uci.ics.jung.algorithms.util.DiscreteDistribution "Joshua O"
edu.uci.ics.jung.algorithms.util.Indexer "Tom Nelson"
edu.uci.ics.jung.algorithms.util.IterativeContext "UNKNOWN"
edu.uci.ics.jung.algorithms.util.IterativeProcess "Scott White"
edu.uci.ics.jung.algorithms.util.KMeansClusterer "Joshua O"
edu.uci.ics.jung.algorithms.util.MapBinaryHeap "Joshua O"
edu.uci.ics.jung.algorithms.util.MapSettableTransformer "Joshua O"
