#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsIntBufferB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsIntBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsDoubleBufferL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsLongBufferRB
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsCharBufferRL
java.nio.DirectIntBufferRS java.nio.DirectDoubleBufferRS
java.nio.DirectIntBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectIntBufferRS java.nio.DirectIntBufferRU
java.nio.DirectIntBufferRS java.nio.DirectFloatBufferRU
java.nio.DirectIntBufferRS java.nio.DirectFloatBufferRS
java.nio.DirectIntBufferRS java.nio.DirectLongBufferRU
java.nio.DirectIntBufferRS java.nio.DirectShortBufferRS
java.nio.DirectIntBufferRS java.nio.DirectLongBufferRS
java.nio.DirectShortBufferRU java.nio.DirectDoubleBufferRS
java.nio.DirectShortBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectShortBufferRU java.nio.DirectIntBufferRU
java.nio.DirectShortBufferRU java.nio.DirectFloatBufferRU
java.nio.DirectShortBufferRU java.nio.DirectFloatBufferRS
java.nio.DirectShortBufferRU java.nio.DirectLongBufferRU
java.nio.DirectShortBufferRU java.nio.DirectShortBufferRS
java.nio.DirectShortBufferRU java.nio.DirectLongBufferRS
java.nio.DirectShortBufferRU java.nio.DirectIntBufferRS
java.nio.ByteBufferAsIntBufferRL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsIntBufferRL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsIntBufferRL java.nio.ByteBufferAsShortBufferRL
