#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.nio.DirectIntBufferS java.nio.DirectFloatBufferU
java.nio.DirectDoubleBufferRU java.nio.DirectIntBufferRS
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsCharBufferRL
java.nio.DirectShortBufferS java.nio.DirectFloatBufferU
java.nio.DirectShortBufferS java.nio.DirectIntBufferS
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsFloatBufferRB
java.nio.DirectDoubleBufferS java.nio.DirectFloatBufferU
java.nio.DirectDoubleBufferS java.nio.DirectIntBufferS
java.nio.DirectDoubleBufferS java.nio.DirectShortBufferS
java.nio.DirectLongBufferRU java.nio.DirectIntBufferRS
java.nio.DirectLongBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectFloatBufferRS java.nio.DirectIntBufferRS
java.nio.DirectFloatBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectFloatBufferRS java.nio.DirectLongBufferRU
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsIntBufferB
java.nio.DirectShortBufferRU java.nio.DirectIntBufferRS
java.nio.DirectShortBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectShortBufferRU java.nio.DirectLongBufferRU
java.nio.DirectShortBufferRU java.nio.DirectFloatBufferRS
javax.xml.datatype.SecuritySupport javax.xml.xpath.SecuritySupport
javax.xml.transform.SecuritySupport javax.xml.stream.SecuritySupport
java.nio.ByteBufferAsShortBufferRL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsShortBufferRL java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsFloatBufferB java.nio.ByteBufferAsIntBufferB
java.nio.ByteBufferAsFloatBufferB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsFloatBufferRL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsFloatBufferRL java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsFloatBufferRL java.nio.ByteBufferAsShortBufferRL
java.nio.DirectLongBufferS java.nio.DirectFloatBufferU
java.nio.DirectLongBufferS java.nio.DirectIntBufferS
java.nio.DirectLongBufferS java.nio.DirectShortBufferS
java.nio.DirectLongBufferS java.nio.DirectDoubleBufferS
java.nio.DirectDoubleBufferRS java.nio.DirectIntBufferRS
java.nio.DirectDoubleBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectDoubleBufferRS java.nio.DirectLongBufferRU
