#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.awt.MenuBar java.awt.Menu
java.awt.im.InputContext java.awt.im.spi.InputMethod
java.awt.datatransfer.ClipboardOwner java.awt.datatransfer.Clipboard
java.awt.ContainerOrderFocusTraversalPolicy java.awt.KeyboardFocusManager
java.awt.ContainerOrderFocusTraversalPolicy java.awt.FocusTraversalPolicy
java.awt.DefaultKeyboardFocusManager java.awt.KeyboardFocusManager
java.awt.Checkbox java.awt.CheckboxMenuItem
java.awt.event.WindowListener java.awt.Window
java.awt.event.WindowEvent java.awt.Window
java.awt.event.WindowEvent java.awt.event.WindowListener
java.awt.event.MouseMotionListener java.awt.event.MouseMotionAdapter
java.awt.image.IndexColorModel java.awt.image.ComponentColorModel
java.awt.image.renderable.RenderableImageOp java.awt.image.renderable.RenderableImage
java.awt.image.WritableRaster java.awt.image.Raster
java.awt.image.AreaAveragingScaleFilter java.awt.image.ReplicateScaleFilter
java.awt.image.CropImageFilter java.awt.image.ReplicateScaleFilter
java.awt.image.CropImageFilter java.awt.image.AreaAveragingScaleFilter
java.awt.image.SinglePixelPackedSampleModel java.awt.image.WritableRaster
java.awt.image.DataBufferShort java.awt.image.DataBufferUShort
java.awt.image.ImageFilter java.awt.image.ReplicateScaleFilter
java.awt.image.ImageFilter java.awt.image.CropImageFilter
java.awt.image.DataBufferFloat java.awt.image.DataBufferUShort
java.awt.image.DataBufferFloat java.awt.image.DataBuffer
java.awt.image.DataBufferFloat java.awt.image.DataBufferShort
java.awt.image.MemoryImageSource java.awt.image.PixelGrabber
java.awt.image.ByteLookupTable java.awt.image.ShortLookupTable
java.awt.image.SampleModel java.awt.image.WritableRaster
java.awt.image.SampleModel java.awt.image.SinglePixelPackedSampleModel
java.awt.image.BandedSampleModel java.awt.image.WritableRaster
java.awt.image.BandedSampleModel java.awt.image.SinglePixelPackedSampleModel
java.awt.image.BandedSampleModel java.awt.image.SampleModel
java.awt.image.DirectColorModel java.awt.image.ComponentColorModel
java.awt.image.DirectColorModel java.awt.image.IndexColorModel
java.awt.image.DataBufferDouble java.awt.image.DataBufferUShort
java.awt.image.DataBufferDouble java.awt.image.DataBuffer
java.awt.image.DataBufferDouble java.awt.image.DataBufferShort
java.awt.image.DataBufferDouble java.awt.image.DataBufferFloat
java.awt.image.ImageConsumer java.awt.image.PixelGrabber
java.awt.image.ImageConsumer java.awt.image.MemoryImageSource
java.awt.image.DataBufferByte java.awt.image.DataBufferUShort
java.awt.image.DataBufferByte java.awt.image.DataBuffer
java.awt.image.DataBufferByte java.awt.image.DataBufferShort
java.awt.image.DataBufferByte java.awt.image.DataBufferFloat
java.awt.image.DataBufferByte java.awt.image.DataBufferDouble
java.awt.image.MultiPixelPackedSampleModel java.awt.image.SinglePixelPackedSampleModel
java.awt.image.MultiPixelPackedSampleModel java.awt.image.SampleModel
java.awt.image.MultiPixelPackedSampleModel java.awt.image.BandedSampleModel
java.awt.image.ComponentSampleModel java.awt.image.SinglePixelPackedSampleModel
java.awt.image.ComponentSampleModel java.awt.image.SampleModel
java.awt.image.ComponentSampleModel java.awt.image.BandedSampleModel
java.awt.image.ComponentSampleModel java.awt.image.MultiPixelPackedSampleModel
java.awt.image.DataBufferInt java.awt.image.DataBufferUShort
java.awt.image.DataBufferInt java.awt.image.DataBufferShort
